frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
25,r2c0,2,0,0.27,0.19,fast,fast,low_block_use_fast,False,149.0
25,r2c1,2,1,0.59,0.62,balanced,balanced,medium_block_use_balanced,False,149.0
25,r2c2,2,2,0.34,0.47,fast,fast,low_block_use_fast,False,149.0
26,r0c0,0,0,0.42,0.43,fast,fast,low_block_use_fast,False,159.0
26,r0c1,0,1,0.69,0.43,balanced,balanced,medium_block_use_balanced,False,159.0
26,r0c2,0,2,0.46,0.21,fast,fast,low_block_use_fast,False,159.0
26,r1c0,1,0,0.57,0.45,balanced,balanced,medium_block_use_balanced,False,159.0
26,r1c1,1,1,1.0,0.58,accurate,accurate,important_block_use_accurate,False,159.0
26,r1c2,1,2,0.67,0.53,balanced,balanced,medium_block_use_balanced,False,159.0
26,r2c0,2,0,0.31,0.5,fast,fast,low_block_use_fast,False,159.0
26,r2c1,2,1,0.7,0.37,balanced,balanced,medium_block_use_balanced,False,159.0
26,r2c2,2,2,0.52,0.39,balanced,balanced,medium_block_use_balanced,False,159.0
27,r0c0,0,0,0.59,0.6,balanced,balanced,medium_block_use_balanced,False,133.0
27,r0c1,0,1,0.37,0.22,fast,fast,low_block_use_fast,False,133.0
27,r0c2,0,2,0.0,0.1,skip,skip,unimportant_block_skip,False,133.0
27,r1c0,1,0,0.88,0.77,accurate,accurate,important_block_use_accurate,False,133.0
27,r1c1,1,1,0.66,0.43,balanced,balanced,medium_block_use_balanced,False,133.0
27,r1c2,1,2,0.43,0.51,fast,fast,low_block_use_fast,False,133.0
27,r2c0,2,0,0.51,0.59,balanced,balanced,medium_block_use_balanced,False,133.0
27,r2c1,2,1,0.53,0.25,balanced,balanced,medium_block_use_balanced,False,133.0
27,r2c2,2,2,0.15,0.26,skip,skip,unimportant_block_skip,False,133.0
28,r0c0,0,0,0.07,0.22,skip,skip,unimportant_block_skip,False,123.0
28,r0c1,0,1,0.32,0.2,fast,fast,low_block_use_fast,False,123.0
28,r0c2,0,2,0.14,0.18,skip,skip,unimportant_block_skip,False,123.0
28,r1c0,1,0,0.44,0.37,fast,fast,low_block_use_fast,False,123.0
28,r1c1,1,1,0.65,0.43,balanced,balanced,medium_block_use_balanced,False,123.0
28,r1c2,1,2,0.38,0.48,fast,fast,low_block_use_fast,False,123.0
28,r2c0,2,0,0.64,0.42,balanced,balanced,medium_block_use_balanced,False,123.0
28,r2c1,2,1,0.82,0.85,accurate,accurate,important_block_use_accurate,False,123.0
28,r2c2,2,2,0.61,0.65,balanced,balanced,medium_block_use_balanced,False,123.0
29,r0c0,0,0,0.26,0.32,fast,fast,low_block_use_fast,False,129.0
29,r0c1,0,1,0.3,0.17,fast,fast,low_block_use_fast,False,129.0
29,r0c2,0,2,0.41,0.42,fast,fast,low_block_use_fast,False,129.0
29,r1c0,1,0,0.22,0.15,fast,fast,low_block_use_fast,False,129.0
29,r1c1,1,1,0.25,0.29,fast,fast,low_block_use_fast,False,129.0
29,r1c2,1,2,0.78,0.36,balanced,balanced,medium_block_use_balanced,False,129.0
29,r2c0,2,0,0.39,0.27,fast,fast,low_block_use_fast,False,129.0
